new_item_id,original_item_id
1,B004756YJA
2,B004ZT0SSG
3,B0020YLEYK
4,7806397051
5,B002WLWX82
6,B0009P4PZC
7,B009HULFLW
8,B00BZ1QN2C
9,B00G2TQNZ4
10,B00812ZWOS
11,B0000YUX4O
12,B003H8180I
13,B00538TSMU
14,B002S8TOYU
15,B001MP471K
16,B00011JI88
17,B00C1F13CQ
18,B003ATNYJC
19,B003ZS6ONQ
20,B0030HKJ8I
21,B00027D8IC
22,B002PMLGOU
23,B00BN1MPPS
24,B004Z40048
25,B009PZVOF6
26,B008LQX8J0
27,B007EHWDTS
28,B009DDGHFC
29,B002BGDLDO
30,B003VWZCMK
31,B00DQ2ILQY
32,B00DAYGJVW
33,B0048O2R1E
34,B004H53CY0
35,B0035LCW0M
36,B00021KD2C
37,B002OVV7F0
38,B003UHKJ5G
39,B0068Y6CA4
40,B0022PG9G0
41,B008B7QY0E
42,B003H2MR2W
43,B007RX3AFA
44,B0068Z7MT8
45,B003UYZ9XQ
46,B007Q22HMY
47,B0035LT8WM
48,B004S3M2V0
49,B00A6SONHM
50,B005P0QN56
51,B0067F8BBM
52,B000NJE40K
53,B003F2T0M4
54,B003HFSZ3Y
55,B008JWW914
56,B006LXPRBW
57,B001W2K51O
58,B0049WJA9C
59,B000VBDWQC
60,B0001Y74XG
61,B001U1HI5I
62,B0047ETODO
63,B003CGTKUK
64,B004MOU4C4
65,B001H54SQ4
66,B000EODF9K
67,B003OBE530
68,B00BGBUQXS
69,B007CMS5C4
70,B001189I3A
71,B001EBBKNU
72,B002ZNJU7Y
73,B00CBYAP0S
74,B00CIX1SLW
75,B009CZR3Y0
76,B001FYXA6G
77,B001QOP2KM
78,B007PTGHKQ
79,B001ACCZ5K
80,B001ET7A4K
81,B00011QTZI
82,B0018ZMU04
83,9759091062
84,B000OV3ZDO
85,B000RYSXWG
86,B000TDFA3K
87,B000PLUZL8
88,B00392FQSM
89,B003TXO7XQ
90,B006U98T08
91,B00E9SIR2C
92,B000ELP5KA
93,B002LVJBPG
94,B00B99O5WK
95,B003V265QW
96,B004WSXD4G
97,B0051PUWI4
98,B00198ZOU8
99,B003S516XO
100,B006ON74II
101,B004RSW46E
102,B005XIDZHO
103,B00A51LI1O
104,B003S17772
105,B0030O3VRW
106,B004M7WKKK
107,B00AUFS8I6
108,B00A65JWMG
109,B00005REAQ
110,B0014272H2
111,B002OO16QC
112,B005R3IPJI
113,B000FS05VG
114,B005IJTKFY
115,B00BKONH5U
116,B0091OCDRE
117,B00EHMN8JM
118,B005TTSDYW
119,B00CE2JC9W
120,B000FQUGXA
121,B000PU70WG
122,B00GW1HKHW
123,B003POFQ7K
124,B007VDWDAY
125,B002RGMI6Y
126,B00A51P1VC
127,B003XKY57S
128,B006K9OQSC
129,B000VQEQXA
130,B000VW7P3W
131,B00BKDNYI6
132,B000EGYRGS
133,B00340UTWC
134,B0018P2ZEA
135,B003FITQGI
136,B002RXW5BA
137,B0068Y0EXK
138,B008X20VRO
139,B00005A9WP
140,B002PR2GLM
141,B007WW1AOE
142,B009FIF1RU
143,B00AMKSWXK
144,B003HYMGJO
145,B002WJOOIQ
146,B004MKEMPI
147,B004N0ULSO
148,B004Y6G910
149,B0009MHJS0
150,B000C230QC
151,B0018N5I9Q
152,B001NYMTOC
153,B000LXTNMW
154,B0011UR1H8
155,B00147FGJ8
156,B002UGO15M
157,B004FEKA3E
158,B000C1Z1HE
159,B000P257CO
160,B000VOJ9BG
161,B000WTHKVQ
162,B0012RQZ72
163,B001FWXMGG
164,B0059U4AQ6
165,9788072216
166,B0045SU5ZI
167,B00153Z3I0
168,B00067YSLO
169,B00021C1LI
170,B006WVCF18
171,B00188IFHS
172,B003O4BWV0
173,B006KZ6VH0
174,B0073TX6IO
175,B003KZBI30
176,B002LB75AO
177,B004YZMKKU
178,B004ZD2M6I
179,B007YQURGU
180,B0012RUKCI
181,B004YRTZG0
182,B000GHYSL4
183,B001CT09TK
184,B0047F71SS
185,B003XFBLVQ
186,B003XQ7A38
187,B003XQD0GE
188,B003KUD702
189,B002VHNES0
190,B007S2CJY8
191,B00014DMQE
192,B00BCMNTPS
193,B005SRTDWQ
194,B000GCT01W
195,B0000530ED
196,B00143S6YO
197,B000C1Z6AG
198,B00021CNCK
199,B000AAC8VO
200,B000P20U6M
201,B000P279E8
202,B000Q0VBOS
203,B000XE67WI
204,B00152SZL8
205,B001KOTRJA
206,B002SKTTVQ
207,B003R3K8F4
208,B004KKIB5M
209,B004UM38V2
210,B0050OX4O0
211,B0067HEMHW
212,B005Z2X5JQ
213,B008LXAB5C
214,9790790961
215,B0009OAHWI
216,B008K0WMVW
217,B002LHIQKQ
218,B0012GVT7O
219,B000Z63YFM
220,B004AGM47C
221,B000WHYB1A
222,B000EEX7TI
223,B002AMUFOC
224,B0001UWRCI
225,B00067EJ4U
226,B000ALFTUU
227,B000PHRIQM
228,B005TI7Q3M
229,B00400B7RQ
230,B004W75SLI
231,B00110Q8FO
232,B002LWQ3II
233,B00AMYNT8E
234,B0040YRFAK
235,B000JL7Z5S
236,B001CT0954
237,B0036FTF5W
238,B000P557R6
239,B0002KS5VE
